sentence,keyword,Function,label
hey saily run this file,runprogram,runprogram,13
start calculator,calculator,Application,0
bring up terminal,terminal,Application,19
can you open the notepad,notepad,Application,8
execute this file,runprogram,runprogram,13
can you search for current ai updates,web search,websearch,22
create a new folder for my project,unknown,Unknown,20
do a web search about neural networks,web search,websearch,22
can you restart my computer,restart,system_commands,12
put my pc to sleep,sleep,system_commands,16
what type of assistant are you,personality,gemini,10
can you move the folder,move directory,system_commands,7
list everything in this folder,show files,system_commands,14
hey saily put the pc to sleep,sleep,system_commands,16
explain overfitting in machine learning,question,gemini,11
copy main.py into the backend folder,unknown,Unknown,20
display the computer name,hostname,system_commands,4
can you run this file,runprogram,runprogram,13
relocate the folder,move directory,system_commands,7
launch the terminal,terminal,Application,19
display system information,system info,system_commands,17
change the directory,change directory,system_commands,1
please launch vs code,vs code,Application,21
what are neural networks,question,gemini,11
tell me your purpose,personality,gemini,10
please launch the task manager,task manager,Application,18
transfer the directory,move directory,system_commands,7
i need calculator open,calculator,Application,0
show the computer ip,ip address,system_commands,5
list the files,show files,system_commands,14
move this file to the desktop,unknown,Unknown,20
would you open calculator,calculator,Application,0
start the computer again,restart,system_commands,12
move a folder elsewhere,move directory,system_commands,7
bring up file manager,open file manager,Application,9
copy report.txt to the backup folder,unknown,Unknown,20
search for information online,web search,websearch,22
lock my pc,lock,system_commands,6
introduce yourself,personality,gemini,10
which directory am i in,current directory,system_commands,3
open cmd,cmd,Application,2
teach me the basics of neural networks,question,gemini,11
reboot the pc,restart,system_commands,12
move the folder,move directory,system_commands,7
launch task manager,task manager,Application,18
display my ip address,ip address,system_commands,5
could you display system details,system info,system_commands,17
can you investigate neural networks online,web search,websearch,22
saily tell me my ip,ip address,system_commands,5
move a folder,move directory,system_commands,7
what is natural language processing,question,gemini,11
hey saily open the command prompt,cmd,Application,2
what can I ask you to do,personality,gemini,10
create a calculator,calculator,Application,0
saily lock my computer,lock,system_commands,6
start the calculator,calculator,Application,0
hey saily can you open visual studio code,vs code,Application,21
what are you designed for,personality,gemini,10
please change directory,change directory,system_commands,1
search today's news about ai,web search,websearch,22
start cmd,cmd,Application,2
what is my hostname,hostname,system_commands,4
tell me about yourself,personality,gemini,10
search for today's news,web search,websearch,22
get the ip address,ip address,system_commands,5
can you start notepad,notepad,Application,8
create a folder named saily inside this directory,unknown,Unknown,20
who created saily,personality,gemini,10
can you open vs code,vs code,Application,21
show me the files,show files,system_commands,14
restart the computer,restart,system_commands,12
can you tell me what a neural network is,question,gemini,11
open terminal,terminal,Application,19
take me to this website,website,website,23
please open task manager,task manager,Application,18
what hidden files are here,show hidden files,system_commands,15
start the notepad,notepad,Application,8
why does gradient descent work,question,gemini,11
switch directory,change directory,system_commands,1
are you an ai assistant,personality,gemini,10
how does a convolutional neural network work,question,gemini,11
can you do a search on neural networks,web search,websearch,22
lock my computer,lock,system_commands,6
bring up vs code,vs code,Application,21
bring up calculator,calculator,Application,0
change where i am,change directory,system_commands,1
please launch command prompt,cmd,Application,2
saily list the files,show files,system_commands,14
open github.com,website,website,23
saily relocate the folder,move directory,system_commands,7
execute this code,runprogram,runprogram,13
can you tell me why neural networks need training,question,gemini,11
execute the file for me,runprogram,runprogram,13
look up the latest neural network news,web search,websearch,22
open notepad now,notepad,Application,8
launch vs code,vs code,Application,21
open vs code,vs code,Application,21
how can I train a neural network,question,gemini,11
how can Saily assist me,personality,gemini,10
show files,show files,system_commands,14
could you list the files,show files,system_commands,14
who are you saily,personality,gemini,10
search online for the latest updates,web search,websearch,22
can you tell me how neural networks work,question,gemini,11
i want you to open calculator,calculator,Application,0
can you open the file manager,open file manager,Application,9
start task manager for me,task manager,Application,18
can you check what is new in artificial intelligence,web search,websearch,22
get the hostname,hostname,system_commands,4
hey saily restart the computer,restart,system_commands,12
find current information about ai,web search,websearch,22
run the program,runprogram,runprogram,13
can you show me the files,show files,system_commands,14
tell me my system details,system info,system_commands,17
display all hidden files,show hidden files,system_commands,15
get the notepad ready,notepad,Application,8
can you reboot the computer,restart,system_commands,12
hey saily open cmd,cmd,Application,2
find the latest news,web search,websearch,22
give me my ip address,ip address,system_commands,5
how does a neural network learn,question,gemini,11
why do neural networks use activation functions,question,gemini,11
display my network ip,ip address,system_commands,5
launch notepad,notepad,Application,8
saily launch calculator,calculator,Application,0
search online for python,web search,websearch,22
move test.py to the project directory,unknown,Unknown,20
can you start calculator,calculator,Application,0
saily launch notepad,notepad,Application,8
run main.py,runprogram,runprogram,13
hey saily lock the computer,lock,system_commands,6
launch command prompt,cmd,Application,2
run file manager,open file manager,Application,9
get my system information,system info,system_commands,17
find some information on the internet about transformers,web search,websearch,22
who created you,personality,gemini,10
launch this website,website,website,23
would you run notepad,notepad,Application,8
show all files,show files,system_commands,14
please look up neural networks,web search,websearch,22
launch the task manager,task manager,Application,18
hey saily can you open the calculator,calculator,Application,0
run notepad,notepad,Application,8
restart the machine,restart,system_commands,12
open task manager for me,task manager,Application,18
launch calculator please,calculator,Application,0
run this file,runprogram,runprogram,13
start the task manager,task manager,Application,18
tell me about your functions,personality,gemini,10
please show computer information,system info,system_commands,17
show the directory i am in,current directory,system_commands,3
can you explain machine learning,question,gemini,11
could you teach me what supervised learning is,question,gemini,11
introduce Saily to me,personality,gemini,10
i want you to open vs code,vs code,Application,21
suspend the system,sleep,system_commands,16
start vscode,vs code,Application,21
display current path,current directory,system_commands,3
open command prompt,cmd,Application,2
open my files,open file manager,Application,9
can you show my current directory,current directory,system_commands,3
lock this pc,lock,system_commands,6
how to build a neural network,question,gemini,11
how does backpropagation work,question,gemini,11
move the directory somewhere else,move directory,system_commands,7
show folder contents,show files,system_commands,14
show hostname,hostname,system_commands,4
can you explain the topic of natural language processing,question,gemini,11
run the notepad,notepad,Application,8
please show the current path,current directory,system_commands,3
why is training data important,question,gemini,11
hey saily show files,show files,system_commands,14
hey saily show hostname,hostname,system_commands,4
how do computers understand language,question,gemini,11
tell me who you are,personality,gemini,10
can you tell me how machine learning works,question,gemini,11
rename report.txt to final_report.txt,unknown,Unknown,20
start the text editor for me,notepad,Application,8
open google.com,website,website,23
copy data.csv to the backup directory,unknown,Unknown,20
how does a neural network recognize patterns,question,gemini,11
suspend the computer,sleep,system_commands,16
go into a different directory,change directory,system_commands,1
start terminal,terminal,Application,19
can you search for information about neural networks,web search,websearch,22
open cmd for me,cmd,Application,2
tell me about my system,system info,system_commands,17
hey saily can you open task manager,task manager,Application,18
hey saily please start calculator,calculator,Application,0
open calculator now,calculator,Application,0
hey saily tell me my system details,system info,system_commands,17
lock my system,lock,system_commands,6
what kind of assistant are you,personality,gemini,10
give me the hidden files,show hidden files,system_commands,15
saily open xyz.com,website,website,23
please launch the notepad,notepad,Application,8
hey saily change directory,change directory,system_commands,1
hey saily show hidden files,show hidden files,system_commands,15
lock the pc,lock,system_commands,6
transfer the folder,move directory,system_commands,7
please bring up notepad,notepad,Application,8
find my ip address,ip address,system_commands,5
open the calculator,calculator,Application,0
can you explain why neural networks overfit,question,gemini,11
change the current folder,change directory,system_commands,1
open calculator for me,calculator,Application,0
can you get calculator running,calculator,Application,0
could you launch calculator for me,calculator,Application,0
would you open notepad,notepad,Application,8
display current directory,current directory,system_commands,3
can you explain what a neural network is,question,gemini,11
show my ip,ip address,system_commands,5
are you a robot assistant,personality,gemini,10
can you list the files,show files,system_commands,14
please explain the difference between AI and ML,question,gemini,11
can you open task manager,task manager,Application,18
create a file named pyt.py,unknown,Unknown,20
make a file named hello.py in the current folder,unknown,Unknown,20
can you search the topic of neural networks,web search,websearch,22
launch the text editor please,notepad,Application,8
lock the workstation now,lock,system_commands,6
what are your abilities,personality,gemini,10
can you open cmd,cmd,Application,2
what is my current folder,current directory,system_commands,3
please open this website,website,website,23
move directory,move directory,system_commands,7
go to this website,website,website,23
display the folder contents,show files,system_commands,14
what is the difference between ai and machine learning,question,gemini,11
tell me your capabilities,personality,gemini,10
open task manager,task manager,Application,18
run calculator,calculator,Application,0
saily can you start the calculator,calculator,Application,0
hey saily please start notepad,notepad,Application,8
tell me the ip address,ip address,system_commands,5
saily sleep the computer,sleep,system_commands,16
launch the notepad,notepad,Application,8
how are you,personality,gemini,10
open the basic text editor,notepad,Application,8
display the ip address,ip address,system_commands,5
can you explain how a transformer works,question,gemini,11
find hidden files,show hidden files,system_commands,15
who are you,personality,gemini,10
change the name of notes.txt to notes.md,unknown,Unknown,20
run command prompt,cmd,Application,2
what is the purpose of an activation function,question,gemini,11
please search for neural networks,web search,websearch,22
open a terminal window,terminal,Application,19
open the text editor please,notepad,Application,8
display hidden files,show hidden files,system_commands,15
start command prompt,cmd,Application,2
display my system information,system info,system_commands,17
what folder am i in,current directory,system_commands,3
can you teach me about neural networks,question,gemini,11
show the system information,system info,system_commands,17
search online for this topic,web search,websearch,22
show the file manager,open file manager,Application,9
i want you to open notepad,notepad,Application,8
run this script,runprogram,runprogram,13
i want you to open cmd,cmd,Application,2
hey saily open task manager,task manager,Application,18
show system info,system info,system_commands,17
what is the computer ip,ip address,system_commands,5
what are your capabilities,personality,gemini,10
look online for the latest developments,web search,websearch,22
what is the role of neurons in neural network,question,gemini,11
what is a neural network,question,gemini,11
explain activation function,question,gemini,11
how do neural networks learn,question,gemini,11
what is deep learning,question,gemini,11
what is machine learning,question,gemini,11
explain artificial intelligence,question,gemini,11
what is backpropagation,question,gemini,11
how does gradient descent work,question,gemini,11
what is a loss function,question,gemini,11
what is python,question,gemini,11
explain recursion in programming,question,gemini,11
what is an api,question,gemini,11
how does web dev work,question,gemini,11
what is cloud computing,question,gemini,11
tell me a joke,question,gemini,11
tell me a fun fact,question,gemini,11
what is the capital of france,question,gemini,11
who wrote hamlet,question,gemini,11
what is the distance to the moon,question,gemini,11
how do airplanes fly,question,gemini,11
what is photosynthesis,question,gemini,11
explain gravity,question,gemini,11
what is relativity,question,gemini,11
how does internet work,question,gemini,11
